DTS,Downstream 1,Downstream 2,Downstream 3,Downstream 4,Downstream 5,Downstream 6,Downstream 7,Downstream 8,Downstream 9,Downstream 10,Downstream 11,Downstream 12,Downstream 13,Downstream 14,Downstream 15,Downstream 16
2013-08-13 18:54:00,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-13 19:24:00,37.36,38.26,37.94,37.36,38.98,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-13 19:54:00,37.09,38.26,37.94,37.36,38.98,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-13 20:24:00,37.09,38.26,37.94,37.64,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-13 20:54:00,37.09,38.26,37.94,37.64,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-13 21:24:00,37.09,38.26,37.94,37.64,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-13 21:54:00,37.09,38.26,37.94,37.36,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-13 22:24:00,37.09,38.26,37.94,37.36,38.98,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-13 22:54:00,37.36,38.26,37.94,37.36,38.98,38.61,38.26,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-13 23:24:00,37.09,38.26,37.94,37.64,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-13 23:54:00,37.09,38.26,37.94,37.64,38.98,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
2013-08-14 00:24:00,37.09,38.26,37.94,37.64,38.61,38.61,37.94,38.26,37.36,38.26,37.94,37.36,38.61,38.61,37.94,38.26
