DTS,min,avg,max
2021-09-04 12:15:00,24.429,34.796,246.265
2021-09-04 12:30:01,24.215,34.236,243.402
2021-09-04 12:45:01,24.139,33.512,218.005
2021-09-04 13:00:01,23.583,34.011,273.630
2021-09-04 13:15:01,24.702,34.564,241.226
2021-09-04 13:30:01,24.718,33.633,262.641
2021-09-04 13:45:01,24.508,35.451,242.644
2021-09-04 14:00:01,24.380,35.427,169.550
2021-09-04 14:15:01,24.550,35.542,360.176
2021-09-04 14:30:01,24.642,38.724,1133.991
2021-09-04 14:45:01,25.008,35.846,276.582
2021-09-04 15:00:01,24.740,34.281,222.142
2021-09-04 15:15:01,23.533,34.193,246.768
2021-09-04 15:30:01,24.178,34.390,247.034
2021-09-04 15:45:01,24.425,33.360,240.085
2021-09-04 16:00:01,24.478,34.464,319.412
2021-09-04 16:15:01,24.345,35.140,248.564
2021-09-04 16:30:01,24.602,33.665,248.994
2021-09-04 16:45:01,24.757,33.847,437.295
2021-09-04 17:00:01,24.441,35.490,251.714
2021-09-04 17:15:01,24.442,34.964,243.991
2021-09-04 17:30:01,24.690,35.536,375.757
2021-09-04 17:45:01,24.403,35.002,242.824
2021-09-04 18:00:01,24.239,34.136,345.541
2021-09-04 18:15:01,24.192,33.930,248.130
2021-09-04 18:30:01,24.342,34.426,246.992
2021-09-04 18:45:01,24.632,34.057,240.350
2021-09-04 19:00:01,24.652,33.729,247.027
2021-09-04 19:15:01,24.768,34.578,246.648
2021-09-04 19:30:01,24.300,35.334,241.280
2021-09-04 19:45:01,24.306,35.312,247.647
2021-09-04 20:00:01,24.089,34.125,209.531
2021-09-04 20:15:00,24.582,34.996,245.076
2021-09-04 20:30:01,24.681,34.111,270.161
2021-09-04 20:45:01,23.295,34.232,247.940
2021-09-04 21:00:01,23.956,34.206,243.510
2021-09-04 21:15:01,24.125,34.250,270.512
2021-09-04 21:30:01,24.387,33.931,244.356
2021-09-04 21:45:00,24.379,33.870,254.066
2021-09-04 22:00:01,24.399,34.366,225.007
2021-09-04 22:15:01,24.903,35.573,195.513
2021-09-04 22:30:01,24.497,37.253,1014.272
2021-09-04 22:45:01,24.989,34.898,237.200
2021-09-04 23:00:02,24.302,35.160,245.788
2021-09-04 23:15:01,24.678,34.394,244.252
2021-09-04 23:30:01,24.498,34.515,231.103
2021-09-04 23:45:01,24.965,34.432,242.154
2021-09-05 00:00:01,24.715,34.352,247.355
2021-09-05 00:15:01,24.647,34.260,212.043
2021-09-05 00:30:01,24.652,33.715,268.227
2021-09-05 00:45:01,24.665,35.277,246.665
2021-09-05 01:00:01,24.138,33.703,257.470
2021-09-05 01:15:01,24.077,34.734,172.029
2021-09-05 01:30:01,24.268,35.008,203.131
2021-09-05 01:45:01,24.073,34.273,223.569
2021-09-05 02:00:01,24.264,33.824,208.893
2021-09-05 02:15:01,24.951,33.524,256.376
2021-09-05 02:30:01,24.504,35.174,721.162
2021-09-05 02:45:01,24.609,34.293,163.719
2021-09-05 03:00:01,22.378,35.408,448.329
2021-09-05 03:15:01,24.595,34.185,267.820
2021-09-05 03:30:01,24.486,33.734,179.922
2021-09-05 03:45:01,24.658,34.235,244.244
2021-09-05 04:00:01,24.492,35.067,261.085
2021-09-05 04:15:01,24.313,33.101,246.613
2021-09-05 04:30:01,24.495,33.749,184.154
2021-09-05 04:45:01,24.417,34.118,236.973
2021-09-05 05:00:01,24.686,34.069,203.410
2021-09-05 05:15:02,24.167,35.307,199.357
2021-09-05 05:30:01,23.975,33.811,287.397
2021-09-05 05:45:01,24.034,36.290,285.236
2021-09-05 06:00:01,24.964,34.276,363.012
2021-09-05 06:15:01,24.445,34.770,192.891
2021-09-05 06:30:01,24.334,35.486,245.693
2021-09-05 06:45:01,24.702,34.165,194.992
2021-09-05 07:00:01,22.245,35.063,246.446
2021-09-05 07:15:01,24.863,34.654,290.973
2021-09-05 07:30:01,24.178,34.400,174.807
2021-09-05 07:45:01,24.325,35.010,189.817
2021-09-05 08:00:01,24.088,34.868,248.462
2021-09-05 08:15:01,24.213,35.158,244.529
2021-09-05 08:30:01,21.946,35.903,524.922
2021-09-05 08:45:01,24.007,34.182,184.880
2021-09-05 09:00:01,24.236,35.186,179.543
2021-09-05 09:15:01,24.407,33.408,274.475
2021-09-05 09:30:01,24.631,34.853,243.622
2021-09-05 09:45:00,24.112,33.169,246.598
2021-09-05 10:00:01,24.624,34.408,166.922
2021-09-05 10:15:01,24.570,34.982,263.765
2021-09-05 10:30:01,24.250,36.179,344.623
2021-09-05 10:45:01,24.517,34.737,216.812
2021-09-05 11:00:01,24.812,34.555,259.351
2021-09-05 11:15:01,24.470,35.007,243.715
2021-09-05 11:30:01,24.787,33.414,231.021
2021-09-05 11:45:01,24.068,33.843,319.713
2021-09-05 12:00:01,24.401,34.652,245.794
2021-09-05 12:15:00,24.346,33.785,243.506
2021-09-05 12:30:01,24.949,35.259,300.332
2021-09-05 12:45:01,24.488,33.672,190.398
2021-09-05 13:00:01,24.789,34.804,483.058
2021-09-05 13:15:01,24.258,33.740,247.158
2021-09-05 13:30:01,24.644,34.236,243.175
2021-09-05 13:45:01,24.820,34.773,218.381
